"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"M","Missing"
"E","Estimated"
"NA","Not Available"
"**","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-11-01 00:00","2013","11","01","00:00","**","10.0","","9.7","","98","","8","","7","","2.4","","102.40","","","","","","Fog"
"2013-11-01 01:00","2013","11","01","01:00","**","9.9","","9.6","","98","","8","","9","","2.4","","102.40","","","","","","Fog"
"2013-11-01 02:00","2013","11","01","02:00","**","9.9","","9.8","","99","","8","","6","","2.0","","102.42","","","","","","Drizzle,Fog"
"2013-11-01 03:00","2013","11","01","03:00","**","9.9","","9.6","","98","","8","","11","","2.0","","102.38","","","","","","Drizzle,Fog"
"2013-11-01 04:00","2013","11","01","04:00","**","9.9","","9.6","","98","","9","","12","","6.4","","102.37","","","","","","Fog"
"2013-11-01 05:00","2013","11","01","05:00","**","9.9","","9.5","","97","","9","","15","","9.7","","102.31","","","","","","Fog"
"2013-11-01 06:00","2013","11","01","06:00","**","10.0","","9.6","","97","","10","","16","","12.9","","102.31","","","","","","NA"
"2013-11-01 07:00","2013","11","01","07:00","**","10.1","","9.5","","96","","9","","14","","9.7","","102.29","","","","","","Fog"
"2013-11-01 08:00","2013","11","01","08:00","**","10.3","","9.7","","96","","10","","17","","12.9","","102.29","","","","","","NA"
"2013-11-01 09:00","2013","11","01","09:00","**","10.8","","9.9","","94","","10","","14","","19.3","","102.31","","","","","","Rain"
"2013-11-01 10:00","2013","11","01","10:00","**","11.5","","9.9","","90","","11","","14","","24.1","","102.28","","","","","","Cloudy"
"2013-11-01 11:00","2013","11","01","11:00","**","11.1","","9.9","","92","","14","","19","","24.1","","102.25","","","","","","Rain Showers"
"2013-11-01 12:00","2013","11","01","12:00","**","11.7","","10.0","","89","","12","","17","","24.1","","102.19","","","","","","NA"
"2013-11-01 13:00","2013","11","01","13:00","**","11.7","","9.8","","88","","11","","13","","24.1","","102.09","","","","","","Rain Showers"
"2013-11-01 14:00","2013","11","01","14:00","**","11.4","","9.7","","89","","9","","14","","19.3","","102.01","","","","","","NA"
"2013-11-01 15:00","2013","11","01","15:00","**","11.1","","10.0","","93","","8","","17","","19.3","","101.92","","","","","","NA"
"2013-11-01 16:00","2013","11","01","16:00","**","11.1","","9.9","","92","","8","","10","","12.9","","101.82","","","","","","Rain Showers"
"2013-11-01 17:00","2013","11","01","17:00","**","10.8","","10.0","","95","","6","","7","","12.9","","101.67","","","","","","Rain"
"2013-11-01 18:00","2013","11","01","18:00","**","10.6","","9.7","","94","","5","","18","","12.9","","101.51","","","","","","Rain"
"2013-11-01 19:00","2013","11","01","19:00","**","10.7","","9.6","","93","","6","","8","","19.3","","101.40","","","","","","Rain Showers"
"2013-11-01 20:00","2013","11","01","20:00","**","10.2","","9.4","","95","","4","","5","","12.9","","101.29","","","","","","Rain"
"2013-11-01 21:00","2013","11","01","21:00","**","10.2","","9.4","","95","","7","","9","","9.7","","101.19","","","","","","Moderate Rain"
"2013-11-01 22:00","2013","11","01","22:00","**","10.5","","9.3","","92","","6","","19","","12.9","","101.01","","","","","","Rain"
"2013-11-01 23:00","2013","11","01","23:00","**","10.3","","9.4","","94","","6","","14","","12.9","","100.90","","","","","","Rain"
"2013-11-02 00:00","2013","11","02","00:00","**","10.4","","9.0","","91","","8","","20","","12.9","","100.74","","","","","","Rain"
"2013-11-02 01:00","2013","11","02","01:00","**","10.2","","8.8","","91","","8","","18","","9.7","","100.62","","","","","","Rain"
"2013-11-02 02:00","2013","11","02","02:00","**","10.1","","8.6","","90","","9","","23","","19.3","","100.47","","","","","","NA"
